judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Jual Rumah Surabaya di Pantai Mentari,3500000000,250.0,300.0,3,2,2,,Unfurnished,0,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/jual-rumah-surabaya-di-pantai-mentari-hos41676105/,rumah123,Surabaya Utara
"Dijual Rumah Bagus, Kokoh,Gress di Pantai Mentari Kenjeran",5000000000,240.0,300.0,4,3,2,2.0,Unfurnished,0,1,"Bulak, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-bagus-kokohgress-di-pantai-mentari-kenjeran-hos41772841/,rumah123,Surabaya Utara
Dijual Rumah Pantai Mentari Baru Gress,1850000000,90.0,135.0,4,3,2,2.0,Unfurnished,1,1,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-pantai-mentari-baru-gress-hos41687129/,rumah123,Surabaya Utara
"Rumah Pantai Mentari Claster Pasific Regency , Sby ( Rumah Sebelahan)",2200000000,102.0,156.0,3,3,2,2.0,Unfurnished,0,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-pantai-mentari-claster-pasific-regency-sby-rumah-sebelahan-hos41686955/,rumah123,Surabaya Utara
"Rumah Pantai Mentari Claster Pasific Regency , Sby",2200000000,102.0,156.0,3,3,2,2.0,Unfurnished,0,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-pantai-mentari-claster-pasific-regency-sby-hos41686906/,rumah123,Surabaya Utara
"Pantai Mentari, Rumah, Butuh Renovasi, SHM - Sertifikat Hak Milik",1450000000,120.0,120.0,3,2,1,1.0,Unfurnished,1,1,"Bulak, Surabaya",-7.2409768104553,112.79512023926,https://www.rumah123.com/properti/surabaya-bulak/pantai-mentari-rumah-butuh-renovasi-shm-sertifikat-hak-milik-hos40811066/,rumah123,Surabaya Utara
"Pantai Mentari, Rumah, SHM - Sertifikat Hak Milik",2350000000,153.0,194.0,4,3,2,2.0,Unfurnished,1,1,"Bulak, Surabaya",-7.2409768104553,112.79512023926,https://www.rumah123.com/properti/surabaya-bulak/pantai-mentari-rumah-shm-sertifikat-hak-milik-hos40811069/,rumah123,Surabaya Utara
"Dijual Rumah Tengah Kota Jalan Kapuas, Surabaya",30000000000,685.0,252.0,6.0,3.0,2,2.0,Semi Furnished,1,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/dijual-rumah-tengah-kota-jalan-kapuas-surabaya-hos41855146/,rumah123,Surabaya Selatan
Rumah Usaha Jual Raya Diponegoro Sebelah Hotel Oval Murah,31900000000,800.0,1000.0,2.0,2.0,1,5.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-usaha-jual-raya-diponegoro-sebelah-hotel-oval-murah-hos41291892/,rumah123,Surabaya Selatan
"RUMAH DIJUAL, Jl.Progo no.16 Surabaya, dekat Taman Bungkul",28000000000,827.0,475.0,4.0,2.0,1,1.0,Unfurnished,0,1,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-dijual-jlprogo-no16-surabaya-dekat-taman-bungkul-hos40001730/,rumah123,Surabaya Selatan
