judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Dijual Rumah Siap Huni Sukolilo Dian Regency 2,1100000000,60.0,69.0,2,2,1,,,0,0,"Sukolilo, Surabaya",-7.28813,112.8029,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-siap-huni-sukolilo-dian-regency-2-hos16707436/,rumah123
Dijual Rumah Jl Kutisari Indah Surabaya Harga Nego,2650000000,209.0,300.0,8,3,2,2.0,Unfurnished,0,0,"Kutisari, Surabaya",-7.277097,112.717407,https://www.rumah123.com/properti/surabaya-kutisari/dijual-rumah-jl-kutisari-indah-surabaya-harga-nego-hos19590236/,rumah123
Rumah Gunung Anyar Harapan Dekat Merr Upn,1700000000,200.0,200.0,4,3,1,,Unfurnished,0,0,"Gununganyar, Surabaya",-7.33182,112.80822,https://www.rumah123.com/properti/surabaya-gununganyar/rumah-gunung-anyar-harapan-dekat-merr-upn-hos40993948/,rumah123
Dijual Rumah Gress Unit A Wisma Mukti Klampis Anom Surabaya,2350000000,112.0,183.0,5,4,2,2.0,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-gress-unit-a-wisma-mukti-klampis-anom-surabaya-hos40359044/,rumah123
Dijual Rumah Wisma Permai Tengah Kota Surabaya dekat Merr,3500000000,190.0,200.0,5,3,1,1.0,Semi Furnished,0,0,"Mulyorejo, Surabaya",-7.27049,112.780548,https://www.rumah123.com/properti/surabaya-mulyorejo/dijual-rumah-wisma-permai-tengah-kota-surabaya-dekat-merr-hos40292698/,rumah123
Dijual Rumah Graha Green Garden Surabaya dekat Dian Istana,2350000000,100.0,120.0,5,4,2,,Unfurnished,0,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-graha-green-garden-surabaya-dekat-dian-istana-hos39383276/,rumah123
Dijual Rumah Hitung Tanah Rungkut Mapan Barat Surabaya,1450000000,153.0,153.0,2,1,1,,Unfurnished,0,0,"Rungkut, Surabaya",-7.31434,112.800232,https://www.rumah123.com/properti/surabaya-rungkut/dijual-rumah-hitung-tanah-rungkut-mapan-barat-surabaya-hos19590350/,rumah123
Rumah Jual 1 LT Medokan Sawah Timur Baru Minimalis,700000000,70.0,70.0,3,2,1,1.0,Unfurnished,1,1,"Medokan Ayu, Surabaya",-7.326097,112.81353,https://www.rumah123.com/properti/surabaya-medokan-ayu/rumah-jual-1-lt-medokan-sawah-timur-baru-minimalis-hos42231178/,rumah123
Rumah Raya Tenggilis Mejoyo Dekat Ubaya Surabaya,9500000000,525.0,450.0,6,5,1,,Unfurnished,0,0,"Tenggilis Mejoyo, Surabaya",-7.31943,112.755386,https://www.rumah123.com/properti/surabaya-tenggilis-mejoyo/rumah-nol-jalan-raya-cocok-untuk-usaha-hos41107876/,rumah123
Rumah Dijual Kutisari Indah Uk Petra New Minimalis,1650000000,110.0,110.0,3,3,2,1.0,Unfurnished,1,1,"Kutisari, Surabaya",-7.277097,112.717407,https://www.rumah123.com/properti/surabaya-kutisari/rumah-dijual-2lt-kutisari-indah-ald-dekat-uk-petra-hos42038083/,rumah123
Rumah Dijual Cepat Lebak Timur Surabaya Timur,625000000,100.0,100.0,3,3,1,1.0,Unfurnished,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/rumah-dijual-cepat-lebak-timur-surabaya-timur-hos42014746/,rumah123
Dijual Rumah Unit A Araya Minimalis di Boulevard Surabaya,2600000000,91.0,120.0,4,4,2,,Unfurnished,0,0,"Wonocolo, Surabaya",-7.3273,112.737198,https://www.rumah123.com/properti/surabaya-wonocolo/dijual-rumah-unit-a-araya-minimalis-di-boulevard-surabaya-hos40228144/,rumah123
Rumah Mewah Citraland Utama Selat Golf Ada Private Pool,35000000000,1230.0,1000.0,10,9,2,4.0,Furnished,1,1,"Pakuwon Indah, Surabaya",-7.28921,112.674469,https://www.rumah123.com/properti/surabaya-pakuwon-indah/rumah-mewah-citraland-utama-selat-golf-ada-private-pool-hos41652216/,rumah123
"Rumah Araya 1 Galaxy Bumi Permai, Full Furnished",4650000000,189.0,300.0,4,3,2,,Furnished,1,1,"Sukolilo, Surabaya",-7.28813,-7.28813,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-araya-1-galaxy-bumi-permai-hos40035645/,rumah123
Rumah 2 Lantai Dian Istana Surabaya Barat Lt105 SHM Semi Furnish Siap Huni,3000000000,105.0,160.0,3,3,2,2.0,Semi Furnished,1,1,"Graha, Surabaya",-7.308091617358087,112.69872546869095,https://www.rumah123.com/properti/surabaya-graha/rumah-2-lantai-dian-istana-surabaya-barat-lt105-shm-semi-furnish-siap-huni-hos42173188/,rumah123
Rumah Usaha Surabaya Timur. Jalan Kembar. Rungkut Asri. Merr. Nol Jalan,5250000000,300.0,270.0,4,2,1,1.0,Unfurnished,0,0,"Rungkut, Surabaya",-7.3311533026120115,112.77553221939088,https://www.rumah123.com/properti/surabaya-rungkut/rumah-usaha-surabaya-timur-jalan-kembar-rungkut-asri-merr-nol-jalan-hos15786752/,rumah123
Rumah New di Pondok Benowo Indah Jalan Lebar,975000000,99.0,150.0,3,3,2,,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/rumah-new-di-pondok-benowo-indah-jalan-lebar-hos42369342/,rumah123
