judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
Rumah Baru Gress SHM Selangkah ke Citraland Northwest,285000000,48.0,38.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.7916666666666666,38.0,rumah123
Harga Ambyar-Jual Serius-Rmh Jl Kendung Benowo!!,700000000,67.0,134.0,3.0,3.0,2.0,1.0,Unfurnished,Benowo,13.75,2.0,67.0,rumah123
Dijual Rumah 1 Lantai Daerah Sememi Kondisi Bagus,550000000,62.0,40.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,0.6451612903225806,40.0,rumah123
Gading Mutiara Permai. Mepet Benowo Sby Siap Huni Ekonomis,550000000,84.0,63.0,2.0,2.0,1.0,1.0,Unfurnished,Benowo,13.75,0.75,63.0,rumah123
Dijual Rumah 2 Lantai Lokasi Strategis di Palm Oasis Surabaya Barat,1100000000,84.0,108.0,3.0,2.0,2.0,1.0,Unfurnished,Benowo,13.75,1.2857142857142858,54.0,rumah123
Dijual Rumah 2 Lantai Griya Citra Asri Benowo Surabaya,900000000,72.0,131.0,2.0,2.0,2.0,1.0,Unfurnished,Benowo,13.75,1.8194444444444444,65.5,rumah123
Dijual Rumah 2.lantai Lokasi Pondok Benowo Indah,790000000,90.0,160.0,4.0,2.0,2.0,1.0,Unfurnished,Benowo,13.75,1.7777777777777777,80.0,rumah123
"Rumah di Benowo Kepatihan Perbatasan Surabaya Barat Type Lyra Hadap Selatan, Row Jalan 8 Meter Kabel Underground",519000000,60.0,36.0,2.0,1.0,1.0,,Unfurnished,Benowo,13.75,0.6,36.0,rumah123
Butuh Cepat Laku Rumah SHM Murah Swp Residence Benowo,450000000,72.0,42.0,2.0,1.0,1.0,1.0,Unfurnished,Benowo,13.35,0.5833333333333334,42.0,rumah123
Rumah 2 Lantai Pantai Mentari Lantai Granit Rangka Galvalum Row Jalan Lebar,2000000000,136.0,146.0,4.0,3.0,2.0,1.0,Unfurnished,Bulak,5.09,1.0735294117647058,73.0,rumah123
Rumah Pantai Mentari Baru Gress 2 Lantai Siap Huni SHM Sanitary Toto,1850000000,90.0,135.0,5.0,4.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5,67.5,rumah123
"Dijual Rumah Modern Minimalis, Pantai Mentari",1770000000,102.0,101.0,3.0,2.0,2.0,2.0,Semi Furnished,Bulak,5.09,0.9901960784313726,50.5,rumah123
Dijual Rumah Pantai Mentari! 2 LT! Nego!,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5,67.5,rumah123
"Dijual Rumah Baru - Setro Utara, Tambaksari Surabaya Timur",600000000,65.0,60.0,2.0,1.0,1.0,1.0,Unfurnished,Bulak,5.09,0.9230769230769231,60.0,rumah123
Dijual Rumah Gading Intang Utara Bulak Surabaya,950000000,166.0,125.0,3.0,1.0,1.0,1.0,Unfurnished,Bulak,4.05,0.7530120481927711,125.0,rumah123
"Dijual Rumah Pantai Mentari 2 Lantai Terawat, Bersih & Siap Huni Surabaya",2350000000,153.0,194.0,4.0,3.0,2.0,2.0,Semi Furnished,Bulak,5.09,1.2679738562091503,97.0,rumah123
Dijual Rumah Pantai Mentari Cluster Depan Dekat Kenjeran,1000000000,72.0,50.0,3.0,1.0,1.0,1.0,Unfurnished,Bulak,4.05,0.6944444444444444,50.0,rumah123
"Dijual disewakan Rumah Pantai Mentari Hampton Regency, Surabaya",3500000000,187.0,200.0,3.0,2.0,2.0,1.0,Semi Furnished,Bulak,5.09,1.0695187165775402,100.0,rumah123
"Rumah 1 Lantaisiap Huni Pantai Mentari Row Jalan Besar Dekat Raya Kenjeran, Pakuwon City",1600000000,120.0,120.0,2.0,1.0,1.0,2.0,Unfurnished,Bulak,5.09,1.0,120.0,rumah123
