judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
Rumah Asri Siap Huni di Pantai Mentari - Ocean Park di Kenjeran Surabaya,1950000000,153.0,96.0,3.0,2.0,1.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
Dijual Rumah Usaha Lebak Jaya Surabaya Timur,2900000000,354.0,490.0,3.0,3.0,2.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
Rumah Pantai Mentari Surabaya Murah. Ron.a367,1700000000,102.0,120.0,3.0,3.0,2.0,1.0,Semi Furnished,-7.28917,112.734,rumah123
Pantai Mentari Hook 2 Lantai Cluster Depan,4000000000,219.0,280.0,7.0,8.0,2.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
Termurah Hitung Tanah Rumah Lebak Jaya 2 Nembus Lebak Jaya 1,4500000000,610.0,300.0,4.0,3.0,1.0,,Unfurnished,-7.23563,112.786163,rumah123
Rumah 1 Lantai di Area Lebak Timur Indah Gading Kenjeran.,2950000000,200.0,200.0,2.0,2.0,1.0,,Unfurnished,-7.28917,112.734,rumah123
Rumah 2 Lantai Di Daerah Lebak Murah Bagus Shm,700000000,50.0,100.0,3.0,2.0,2.0,,Unfurnished,-7.23563,112.78616,rumah123
Rumah Baru Gress 2 Lantai Dekat Unair dan Its One Gate Sistem,2300000000,80.0,120.0,3.0,3.0,2.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
"Bebas Banjir, Rumah, 2 Lantai, SHM, Dekat Pusat Perbelanjaan, bisa KPR, Lokasi Kenjeran",1850000000,90.0,135.0,3.0,3.0,2.0,1.0,Unfurnished,-7.23563,112.786163,rumah123
Dijual Rumah Baru Babatan Pantai Utara Surabaya,2550000000,146.0,280.0,4.0,3.0,3.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah Baru Renov - Lebak Indah Town House,1250000000,92.0,92.0,3.0,2.0,2.0,1.0,Unfurnished,-7.243586,112.781764,rumah123
RUMAH BABATAN PANTAI MODEL SCANDINAVIAN NEW DEKAT KENJERAN SURABAYA,3700000000,165.0,225.0,4.0,3.0,2.0,2.0,Unfurnished,,,rumah123
Rumah Baru Lebak Indah Regensi Dkt Kenjeran,1300000000,63.0,90.0,3.0,2.0,2.0,,Unfurnished,,,rumah123
Rumah One Gate Jual Dibawah Pasaran Pogot Surabaya Dekat Pelabuhan,700000000,84.0,65.0,2.0,,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
